auction id,kick timestamp,kick block,last bid block,lot,tab,number of bids,final lot,final bid,final price,discount OSM,ETH price OSM,discount uniswap,ETH price uniswap,winner,dealer,vault owner, kicker, kick gas price (wei), last bid gas price (wei),last bid timestamp, deal gas price (wei), deal timestamp
22,1576617663,9122446,9122528,50000.000000000000000000, 6074.527,2,46730.676395489846318824,6074.527253800117864969199679133053647559293564025,0.12999014185864413,0.16542916625662082,0.1557568712,0.15328008617063155,0.15352200855977485,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,30000000000,1576618255,10000000000,1576619000
23,1576617663,9122446,9122528,50000.000000000000000000, 6074.527,2,46730.676395489846318824,6074.527253800117864969199679133053647559293564025,0.12999014185864413,0.16542916625662082,0.1557568712,0.15328008617063155,0.15352200855977485,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,10000000000,30000000000,1576618255,10000000000,1576619000
24,1576618150,9122476,9122553,50000.000000000000000000, 6074.527,2,46758.981550199943890462,6074.527253800117864969199679133053647559293564025,0.12991145342373572,0.16593436666480935,0.1557568712,0.1509054182174032,0.15299997928499137,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,10000000000,18000000000,1576618687,9000000000,1576619454
25,1576618256,9122484,9122553,50000.000000000000000000, 6074.527,2,46758.981550199943890462,6074.527253800117864969199679133053647559293564025,0.12991145342373572,0.16593436666480935,0.1557568712,0.1509054182174032,0.15299997928499137,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,18000000000,1576618687,9000000000,1576619454
26,1576618609,9122500,9122581,50000.000000000000000000, 6074.527,2,46847.085183968946085069,6074.527253800117864969199679133053647559293564025,0.1296671336102426,0.16750296400251144,0.1557568712,0.15495811282662064,0.15344462277955515,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,10000000000,18000000000,1576619152,8000000000,1576619902
27,1576618803,9122511,9122581,50000.000000000000000000, 6074.535,2,46847.150321839849268529,6074.535700041127354792752675112552651332055591910,0.1296671336102426,0.16750296400251144,0.1557568712,0.15495811282662064,0.15344462277955515,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,18000000000,1576619152,8000000000,1576619902
28,1576619000,9122528,9122596,50000.000000000000000000, 6074.535,2,46544.256327640651718907,6074.535700041127354792752675112552651332055591910,0.130510962669173,0.16208535993516415,0.1557568712,0.15373547711411087,0.15422005666042932,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,10000000000,18000000000,1576619514,8000000000,1576620267
29,1576619454,9122553,9122624,50000.000000000000000000, 6074.535,2,46459.966230538996022521,6074.535700041127354792752675112552651332055591910,0.1307477424735669,0.1605651714351662,0.1557568712,0.15476893595721714,0.1546887567621969,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,9000000000,18000000000,1576619929,8000000000,1576620742
30,1576619902,9122581,9122647,50000.000000000000000000, 6074.535,2,46397.519700580766580879,6074.535700041127354792752675112552651332055591910,0.1309237161650495,0.15943537414194353,0.1557568712,0.15016609098898642,0.1540580044839712,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,8000000000,15000000000,1576620457,8000000000,1576621165
31,1576620045,9122590,9122647,50000.000000000000000000, 6074.545,2,46397.593907595372859771,6074.545415499245122930674473624006920120270774970,0.13092371616504947,0.1594353741419437,0.1557568712,0.15016609098898662,0.1540580044839712,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xF1FF09E1fB55702B182058A8514a0917aBDD582f,0xBB0503410D8dAb6d01245d39b63B4694Ce4022d3,0x9631a838a81D4050C43c66Bc03A0CF414243F661,35000000000,15000000000,1576620457,8000000000,1576621165
